code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
23417,Lorica,Córdoba,46.7,50.9,23591,5517,11205,647,446,85,15,19036,12690,960,8246,1873,160,76,-4.199999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,43.8,29.2,2.2,19,4.3,0.4,0.2,56.1,13.1,26.6,1.5,1.1,0.2,0,1,43.8,1,56.1,1,1,0,43,43
23466,Montelíbano,Córdoba,51.29,51.3,21928,3058,4098,342,578,41,11,17628,5672,1118,3142,329,138,97,-0.00999999999999801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,61.8,19.9,3.9,11,1.2,0.5,0.3,71.8,10,13.4,1.1,1.9,0.1,0,1,61.8,1,71.8,1,1,0,61.8,61.8
23555,Planeta Rica,Córdoba,45.01,46,11994,5267,6297,375,341,31,8,10459,9047,872,2947,275,112,39,-0.990000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,43.4,37.5,3.6,12.2,1.1,0.5,0.2,48.6,21.4,25.5,1.5,1.4,0.1,0,1,43.4,1,48.6,1,1,0,27.200000000000003,27.200000000000003
23580,Puerto Libertador,Córdoba,47.46,46.4,9650,1994,1696,202,231,23,9,7539,2265,412,1355,196,65,28,1.0600000000000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,62.4,18.8,3.4,11.2,1.6,0.5,0.2,68.8,14.2,12.1,1.4,1.6,0.2,0.1,1,62.4,1,68.8,1,1,0,54.599999999999994,54.599999999999994
23660,Sahagún,Córdoba,50.09,49.9,22863,6729,9431,529,602,68,12,17570,14694,1312,4448,394,290,93,0.19000000000000483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,44.8,37.5,3.3,11.3,1,0.7,0.2,56.2,16.5,23.2,1.3,1.5,0.2,0,1,44.8,1,56.2,1,1,0,39.7,39.7
23670,San Andrés Sotavento,Córdoba,49.19,48.4,8333,1335,4347,253,302,66,11,5259,3817,160,3750,437,129,40,0.7899999999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,38.4,27.9,1.2,27.4,3.2,0.9,0.3,56.3,9,29.4,1.7,2,0.4,0.1,1,38.4,1,56.3,1,1,0,47.3,47.3
23675,San Bernardo del Viento,Córdoba,40.21,40.5,6931,950,2792,173,127,25,1,5723,2114,210,2289,198,63,8,-0.28999999999999915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,53.5,19.8,2,21.4,1.9,0.6,0.1,62.1,8.5,25,1.5,1.1,0.2,0,1,53.5,1,62.1,1,1,0,53.6,53.6
23686,San Pelayo,Córdoba,45.69,48.4,9314,2245,4893,217,129,28,4,7931,6553,405,2022,164,52,36,-2.710000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,45.9,37.9,2.3,11.7,0.9,0.3,0.2,54.6,13.2,28.7,1.3,0.8,0.2,0,1,45.9,1,54.6,1,1,0,41.400000000000006,41.400000000000006
25754,Soacha,Cundinamarca,67.51,66.5,109937,50730,22232,7560,3672,464,202,53200,41539,39266,7489,3009,705,370,1.0100000000000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,35.7,27.9,26.4,5,2,0.5,0.2,55.2,25.5,11.2,3.8,1.8,0.2,0.1,1,35.7,1,55.2,1,1,0,29.700000000000003,29.700000000000003
27025,Alto Baudó,Chocó,45.94,46.2,4607,67,114,35,4,4,1,2350,156,47,1961,26,3,2,-0.2600000000000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,51.6,3.4,1,43.1,0.6,0.1,0,94.9,1.4,2.3,0.7,0.1,0.1,0,1,51.6,1,94.9,1,1,0,93.5,93.5
