code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
70670,Sampués,Sucre,53.51,57.9,10290,2163,4610,253,780,37,13,7277,4875,470,4728,489,215,133,-4.390000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947,39.6,26.5,2.6,25.7,2.7,1.2,0.7,56,11.8,25.1,1.4,4.2,0.2,0.1,1,39.6,1,56,1,1,0,44.2,44.2
70702,San Juan de Betulia,Sucre,57.52,59.4,4098,530,1957,64,112,11,4,3607,2257,125,669,35,37,7,-1.8799999999999955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,53.1,33.2,1.8,9.8,0.5,0.5,0.1,59.9,7.8,28.6,0.9,1.6,0.2,0,1,53.1,1,59.9,1,1,0,52.1,52.1
70713,San Onofre,Sucre,38.67,41.9,9795,964,5929,346,135,78,12,7242,5088,450,4094,222,64,54,-3.229999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,41.7,29.3,2.6,23.6,1.3,0.4,0.3,55.9,5.5,33.8,2,0.8,0.4,0.1,1,41.7,1,55.9,1,1,0,50.4,50.4
70717,San Pedro,Sucre,52.28,51.6,4698,1035,2731,113,96,17,2,3683,3186,202,1027,99,52,17,0.6799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,44,38.1,2.4,12.3,1.2,0.6,0.2,53.3,11.7,31,1.3,1.1,0.2,0,1,44,1,53.3,1,1,0,41.599999999999994,41.599999999999994
70742,San Luis de Sincé,Sucre,50.62,51.2,6436,1408,4979,221,351,27,2,5396,5360,429,973,689,97,38,-0.5800000000000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,41,40.8,3.3,7.4,5.2,0.7,0.3,47,10.3,36.4,1.6,2.6,0.2,0,1,41,1,47,1,1,0,36.7,36.7
70820,Santiago de Tolú,Sucre,50.43,53.5,7924,774,3011,176,263,30,9,7043,3204,339,1366,101,40,13,-3.0700000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,57.2,26,2.8,11.1,0.8,0.3,0.1,63.9,6.2,24.3,1.4,2.1,0.2,0.1,1,57.2,1,63.9,1,1,0,57.699999999999996,57.699999999999996
70823,Tolú Viejo,Sucre,50.72,53.8,5559,874,3268,160,327,18,2,4013,3922,250,1540,138,39,27,-3.0799999999999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956,40,39.1,2.5,15.4,1.4,0.4,0.3,53.8,8.4,31.6,1.5,3.2,0.2,0,1,40,1,53.8,1,1,0,45.4,45.4
76109,Buenaventura,Valle del Cauca,40.13,39.3,70815,6566,7898,1342,2124,257,80,46148,17743,6213,9017,1947,935,240,0.8300000000000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010,54.9,21.1,7.4,10.7,2.3,1.1,0.3,78.3,7.3,8.7,1.5,2.3,0.3,0.1,1,54.9,1,78.3,1,1,0,71,71
85136,La Salina,Casanare,56,59.7,304,139,21,4,3,3,0,215,66,16,9,129,16,5,-3.700000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,46.4,14.3,3.5,1.9,27.9,3.5,1.1,62.3,28.5,4.3,0.8,0.6,0.6,0,1,46.4,1,62.3,1,1,0,33.8,33.8
86571,Puerto Guzmán,Putumayo,39.67,40,2854,1158,432,97,31,20,4,2273,1293,260,88,127,32,23,-0.3299999999999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077,52.9,30.1,6.1,2,3,0.7,0.5,60.4,24.5,9.1,2,0.7,0.4,0.1,1,52.9,1,60.4,1,1,0,35.9,35.9
86757,San Miguel,Putumayo,42.09,42.9,4808,401,274,64,34,14,3,4113,458,212,58,87,9,12,-0.8099999999999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081,81.4,9.1,4.2,1.1,1.7,0.2,0.2,84.1,7,4.8,1.1,0.6,0.2,0,1,81.4,1,84.1,1,1,0,77.1,77.1
86865,Valle del Guamuez,Putumayo,48.89,48.3,11379,1038,486,162,71,14,4,9293,866,658,119,292,7,12,0.5900000000000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,81.3,7.6,5.8,1,2.6,0.1,0.1,85.5,7.8,3.6,1.2,0.5,0.1,0,1,81.3,1,85.5,1,1,0,77.7,77.7
91263,El Encanto,Amazonas,36.12,39.7,168,24,62,14,0,1,1,190,50,14,39,8,1,1,-3.5800000000000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088,62.1,16.3,4.6,12.7,2.6,0.3,0.3,60.4,8.6,22.3,5,0,0.3,0.3,1,62.1,1,60.4,1,1,0,51.8,51.8
91405,La Chorrera,Amazonas,56.87,58.3,331,19,77,3,5,164,0,470,44,15,19,7,NA,NA,-1.4299999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089,83.9,7.9,2.7,3.4,1.2,0,0,54.8,3.1,12.7,0.5,0.8,27.1,0,1,83.9,1,54.8,1,1,0,51.699999999999996,51.699999999999996
91407,La Pedrera,Amazonas,19.25,23.9,167,25,28,5,0,0,0,150,21,20,29,9,NA,NA,-4.649999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,65.5,9.2,8.7,12.7,3.9,0,0,72.9,10.9,12.2,2.2,0,0,0,1,65.5,1,72.9,1,1,0,62.00000000000001,62.00000000000001
91460,Miriti - Paraná,Amazonas,15.43,16.9,76,4,4,1,0,0,0,59,4,2,5,7,NA,NA,-1.4699999999999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092,76.6,5.2,2.6,6.5,9.1,0,0,88.4,4.7,4.7,1.2,0,0,0,1,76.6,1,88.4,1,1,0,83.7,83.7
91536,Puerto Arica,Amazonas,31.11,32.4,94,27,25,2,0,1,0,98,32,4,6,5,1,NA,-1.2899999999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094,67.1,21.9,2.7,4.1,3.4,0.7,0,61.8,17.8,16.4,1.3,0,0.7,0,1,67.1,1,61.8,1,1,0,44,44
91669,Puerto Santander,Amazonas,25.12,28.2,98,14,27,5,1,4,0,85,27,3,47,2,1,NA,-3.0799999999999983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,51.2,16.3,1.8,28.3,1.2,0.6,0,65.8,9.4,18.1,3.4,0.7,2.7,0,1,51.2,1,65.8,1,1,0,56.4,56.4
91798,Tarapacá,Amazonas,27.84,27.3,229,138,21,1,2,2,1,174,95,21,52,11,2,NA,0.5399999999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097,47.7,26,5.8,14.2,3,0.5,0,56.5,34.1,5.2,0.2,0.5,0.5,0.2,1,47.7,1,56.5,1,1,0,22.4,22.4
94886,Cacahual,Guainía,5.82,6.6,11,1,3,3,0,0,0,6,5,4,3,NA,NA,NA,-0.7799999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,30,25,20,15,0,0,0,61.1,5.6,16.7,16.7,0,0,0,1,30,1,61.1,1,1,0,55.5,55.5
94887,Pana Pana,Guainía,35.63,41.4,92,25,21,20,0,3,0,76,13,14,22,13,NA,1,-5.769999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,51.7,8.8,9.5,15,8.8,0,0.7,56.1,15.2,12.8,12.2,0,1.8,0,1,51.7,1,56.1,1,1,0,40.900000000000006,40.900000000000006
94888,Morichal,Guainía,22.06,31.8,37,3,2,2,1,0,0,39,1,4,3,3,NA,NA,-9.740000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,73.6,1.9,7.5,5.7,5.7,0,0,78.7,6.4,4.2,4.2,2.1,0,0,1,73.6,1,78.7,1,1,0,72.3,72.3
95200,Miraflores,Guaviare,29.45,27.8,778,150,110,42,12,1,1,597,155,113,39,120,8,11,1.6499999999999986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109,55.6,14.4,10.5,3.6,11.2,0.7,1,68.8,13.3,9.7,3.7,1.1,0.1,0.1,1,55.6,1,68.8,1,1,0,55.5,55.5
97001,Mitú,Vaupés,31.21,33.2,3642,893,626,196,21,16,3,1948,856,509,848,1051,19,17,-1.990000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,36.7,16.1,9.6,16,19.8,0.4,0.3,66.3,16.2,11.4,3.6,0.4,0.3,0,1,36.7,1,66.3,1,1,0,50.099999999999994,50.099999999999994
97161,Carurú,Vaupés,32.63,32,450,57,30,11,2,2,1,293,55,14,143,16,2,1,0.6300000000000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,54.9,10.3,2.6,26.8,3,0.4,0.2,80.6,10.2,5.4,2,0.3,0.3,0.2,1,54.9,1,80.6,1,1,0,70.39999999999999,70.39999999999999
97666,Taraira,Vaupés,20.88,25.6,190,70,54,23,4,3,1,130,62,21,123,23,3,NA,-4.720000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113,35.1,16.8,5.7,33.2,6.2,0.8,0,53.8,19.8,15.3,6.5,1.1,0.8,0.3,1,35.1,1,53.8,1,1,0,34,34
